rank_2024,rank_2023,empresa,sede,razao_social,ranking_source,source_url,source_json,retrieved_at
20,15,Fairfax,SP,Fairfax Brasil Seguros Corporativos S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
21,27,HDI Global,SP,HDI Global Seguros S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
22,17,Swiss Re,SP,Swiss Re Corporate Solutions Brasil Seguros S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
23,20,AIG Seguros,SP,AIG Seguros Brasil S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
24,21,Suhai,SP,Suhai Seguradora S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
25,24,Assurant,SP,Assurant Seguradora S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
26,32,EZZE,SP,EZZE Seguros S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
27,25,Starr,SP,STARR International Brasil Seguradora S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
28,29,Sura,SP,Seguros Sura S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
29,23,Essor,RJ,Essor Seguros S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
30,30,Pottencial,MG,Pottencial Seguradora S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
31,18,Austral,RJ,Austral Seguradora S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
32,33,AKAD,SP,AKAD Seguros S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
33,28,Aliança do Brasil,SP,Aliança do Brasil Seguros S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
