rank_2024,rank_2023,empresa,sede,setor,receita_liquida_rs_mi,var_receita_pct,lucro_liquido_rs_mi,var_lucro_pct,margem_liquida_pct,rentab_pl_medio_pct,lucro_ativ_rs_mi,lucro_financ_rs_mi,ebitda_rs_mi,var_ebitda_pct,ativo_total_rs_mi,patrim_liquido_rs_mi,endiv_oneroso_rs_mi,nivel_endiv_geral_pct,nivel_endiv_oneroso_pct,liquidez_corrente,capital_origem,razao_social,ranking_source,source_url,source_json,retrieved_at
13,15,Braskem,BA,Química e Petroquímica,"77.411,0","9,7","-12.052,0","-146,5","-15,6",ND,"-2.036,0","-16.654,0","3.871,0","60,4","101.575,0","-4.278,0","68.679,0",ND,ND,"1,31",BR,Braskem S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
14,18,Assaí Atacadista,RJ,Comércio Varejista,"73.819,0","11,0","769,0","8,3","1,0","15,6","3.791,0","-2.909,0","5.484,0","15,2","45.593,0","5.255,0","16.565,0","767,6","315,2","1,01",BR,Sendas Distribuidora S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
15,11,Bunge Alimentos,SC,Agronegócio,"69.816,0","-14,6","234,4","-91,0","0,3","2,0","996,3","-666,0","1.452,6","-66,2","32.205,2","11.681,3","3.157,8","175,7","27,0","1,26",SU,Bunge Alimentos S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
16,17,Gerdau,SP,Metalurgia e Siderurgia,"67.026,7","-2,7","4.599,1","-39,0","6,9","8,6","5.807,1","-2.023,5","10.613,4","-21,4","86.814,5","58.173,8","13.638,2","49,2","23,4","3,01",BR,Gerdau S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
17,16,ArcelorMittal,MG,Metalurgia e Siderurgia,"66.550,6","-4,7","2.579,3","-37,8","3,9","10,4","4.526,1","-4.440,9","9.021,9","-3,5","88.832,8","27.354,4","37.767,9","224,7","138,1","1,71",EP,Arcelormittal Brasil S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
18,19,Copersucar,SP,Bioenergia,"62.345,2","15,3","408,2","45,5","0,7","19,6","804,1","-374,5","1.271,0","23,7","16.126,6","2.091,1","9.065,1","671,2","433,5","1,40",BR,Copersucar S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
19,34,Mercado Livre,SP,Comércio Varejista,"61.494,5","57,4",-,-,-,-,-,-,-,-,-,-,-,-,-,-,AG,Mercadolivre.com Atividades de Internet Ltda.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
20,20,BRF,SC,Alimentos e Bebidas,"61.379,0","14,5","3.691,9","297,5","6,0","23,0","6.718,9","-1.790,5","10.364,9","155,2","62.675,1","16.499,2","21.359,7","279,9","129,5","1,48",BR,BRF S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
21,22,Telefônica Brasil,SP,TI & Telecom,"55.845,0","7,2","5.557,3","10,3","10,0","8,0","8.012,1","-1.909,7","22.875,8","7,4","124.940,7","69.799,5","5.511,2","79,0","7,9","0,94",EP,Telefônica Brasil S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
22,21,Shell,RJ,Petróleo e Gás,"54.977,0","4,5","7.459,0","-8,7","13,6","23,0","17.571,0","-3.829,0","26.057,0","18,5","117.211,0","36.225,0","37.548,0","223,6","103,7","1,28",HO,Shell Brasil Petróleo Ltda.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
